,Size,Model,Recommended Rider Height,A. Toptube Effective,B. Seat Tube Length,C. Headtube Angle,D. Seat Tube Angle,E. BB Drop,F. Chainstay Length,G. Headtube Length,H. Fork Length,J. Fork Offset,K. Wheelbase,M. Stack,N. Reach,P. Standover,R. BB Center-to-Center
0,XS,beargrease,157cm–165cm,565.0mm,368mm,68.56°,73.5°,65mm,440mm,98mm,483mm,51mm,1086.2mm,23.2mm,390.8mm,684.5mm,
1,SM,beargrease,165cm–175cm,591.0mm,406.0mm,68.56°,73°,65mm,440mm,108mm,483mm,51mm,1107.4mm,597.4mm,408.4mm,726.6mm,
2,MD,beargrease,175–183 cm,612.0mm,444mm,68.56°,73°,65mm,440mm,118mm,483mm,51mm,1129.2mm,606.7mm,426.5mm,744.4mm,
3,LG,beargrease,183–190cm,633.0mm,483mm,68.56°,73°,65mm,440mm,128mm,483mm,51mm,1151.0mm,616.0mm,444.7mm,774.8mm,
4,XL,beargrease,190cm–UP,654.0mm,521mm,68.56°,73°,65mm,440mm,138mm,483mm,51mm,1172.9mm,625.3mm,462.8mm,804.0mm,
0,XS,mukluk,157–168cm,573.0mm,381mm,69°,73°,63mm,432–449mm,103mm,483mm,51mm,1077.1mm,592.7mm,391.8mm,656.5mm,
1,SM,mukluk,165–175cm,594.0mm,406mm,69°,73°,63mm,432–449mm,113mm,483mm,51mm,1098.9mm,602.1mm,409.9mm,678.0mm,
2,MD,mukluk,173–183cm,615.0mm,457mm,69°,73°,63mm,432–449mm,123mm,483mm,51mm,1120.6mm,611.4mm,428.1mm,722.8mm,
3,LG,mukluk,180–191cm,636.0mm,508mm,69°,73°,63mm,432–449mm,133mm,483mm,51mm,1142.3mm,620.7mm,446.2mm,765.3mm,
4,XL,mukluk,188–UP,657.0mm,558mm,69°,73°,63mm,432–449mm,143mm,483mm,51mm,1164.1mm,630.1mm,464.4mm,799.8mm,
0,SM,blackborow,168–175cm,580.0mm,457mm,69.0°,73.0°,60mm,650mm,110mm,483mm,51mm,1305.6mm,599.1mm,396.8mm,704.0mm,
1,MD,blackborow,175–183cm,610.0mm,457.0mm,69.0°,73.0°,60mm,650mm,120mm,483mm,51mm,1336.4mm,608.4mm,424.0mm,737.0mm,
2,LG,blackborow,183–190cm,640.0mm,508.0mm,69.0°,73.0°,60mm,650mm,130mm,483mm,51mm,1367.1mm,617.7mm,451.1mm,763.0mm,
0,50cm,journeyman,152cm–160cm,500mm,380.0mm,70.0°,75.5°,72.0mm,440mm,100mm,405mm,50mm,1017mm,528mm,364mm,666mm,
1,52cm,journeyman,157cm–165cm,520mm,450.0mm,70.5°,74.0°,72.0mm,440mm,115mm,405mm,50mm,1018mm,544mm,364mm,720mm,
2,54cm,journeyman,165cm–175cm,540mm,470.0mm,70.5°,73.0°,72.0mm,440mm,140mm,405mm,50mm,1029mm,567mm,367mm,742mm,
3,55.5cm,journeyman,173cm–183cm,555mm,510.0mm,70.5°,73.0°,72.0mm,440mm,170mm,405mm,50mm,1045mm,595mm,373mm,778mm,
4,57cm,journeyman,180cm–190cm,570mm,530.0mm,70.5°,73.0°,72.0mm,440mm,200mm,405mm,50mm,1061mm,624mm,379mm,801mm,
5,59.5cm,journeyman,188cm–UP,595mm,560.0mm,70.5°,72.5°,72.0mm,440mm,215mm,405mm,50mm,1081mm,639mm,394mm,823mm,
0,24,timberjack_kids,140–157cm,535mm,330mm,68.0°,73.0°,30mm,415mm,100mm,446mm,40mm,1032mm,525mm,375mm,593mm,
0,SM,deadwood,168–175cm,590.2mm,407mm,68.0°,73.4°,45mm,449mm,100mm,521mm,51mm,1137.9mm,605.6mm,410.2mm,739.5mm,
1,MD,deadwood,175–183cm,610.2mm,457mm,68.0°,73.4°,45mm,449mm,110mm,521mm,51mm,1158.9mm,614.9mm,427.4mm,761.1mm,
2,LG,deadwood,183–190cm,630.2mm,508mm,68.0°,73.4°,45mm,449mm,110mm,521mm,51mm,1178.9mm,614.9mm,447.4mm,783.3mm,
3,XL,deadwood,190cm–UP,650.2mm,559mm,68.0°,73.4°,45mm,449mm,120mm,521mm,51mm,1199.9mm,624.2mm,464.7mm,800.9mm,
0,Small,redpoint,168–175cm,606.9mm,407mm,66.9°,73.5°,15mm,430mm,120mm,539mm,44mm,1157.5mm,607.5mm,427.0mm,AL: 744.8mmC: 739.6mm,
1,Medium,redpoint,175–183cm,628.7mm,444.5mm,66.9°,73.5°,15mm,430mm,130mm,539mm,44mm,1180.5mm,616.7mm,446.0mm,AL: 744.1mmC: 739.8mm,
2,LG,redpoint,190cm–UP,649.4mm,483mm,66.9°,73.5°,15mm,430mm,140mm,539mm,44mm,1202.4mm,625.9mm,464.0mm,AL: 760.5mmC: 755.5mm,
3,XL,redpoint,190cm–UP,670.1mm,520mm,66.9°,73.5°,15mm,430mm,150mm,539mm,44mm,1224.3mm,635.1mm,482.0mm,AL: 785.9mm765.1mm,
0,Small,pony_rustler,165,590mm,407mm,68.1°,73.5°,36mm,437mm,100mm,530mm,51mm,1130mm,605.9mm,410.7mm,742.3mm,
1,Medium,pony_rustler,175,610mm,457mm,68.1°,73.5°,36mm,437mm,110mm,530mm,51mm,1151mm,614.5mm,428mm,756.6mm,
2,LG,pony_rustler,183–190cm,630mm,508mm,68.1°,73.5°,36mm,437mm,110mm,530mm,51mm,1171mm,614.5mm,448mm,778.7mm,
3,XL,pony_rustler,190cm–UP,650mm,534mm,68.1°,73.5°,36mm,437mm,120mm,530mm,51mm,1192mm,623.8mm,465.2mm,796.3mm,
0,50cm,marrakesh,147–158cm,500mm,440.0mm,69.5°,75.5°,77mm,455–472mm,90mm,415mm,55mm,1040.6–1057.6mm,539.5mm,360.5mm,704.2mm,
1,52cm,marrakesh,158–165cm,520mm,480.0mm,70.75°,74.5°,77mm,455–472mm,100mm,415mm,55mm,1039.6–1056.6mm,553.9mm,366.4mm,735.6mm,
2,54cm,marrakesh,165–173cm,540mm,520.0mm,70.75°,73.5°,77mm,455–472mm,110mm,415mm,55mm,1049.7–1066.7mm,563.3mm,373.1mm,761.2mm,
3,55cm,marrakesh,170–178cm,550mm,560.0mm,70.75°,73.0°,77mm,455–472mm,125mm,415mm,55mm,1054.9–1071.9mm,577.5mm,373.4mm,791.0mm,
4,57cm,marrakesh,175–185cm,570mm,590.0mm,70.75°,72.5°,77mm,455–472mm,150mm,415mm,55mm,1070.2–1087.2mm,601.1mm,380.5mm,817.4mm,
5,59.5cm,marrakesh,185–UP,595mm,620.0mm,70.75°,72.0°,77mm,455–472mm,175mm,415mm,55mm,1090.0–1107.0mm,624.7mm,392.0mm,843.5mm,
0,XS,fargo,150cm–160cm,520mm,355.6mm,68.5°,74.0°,70mm,445–462mm,90mm,483mm,45mm,1045–1061mm,594.0mm,349.7mm,690.0mm,
1,SM,fargo,160cm–175cm,540mm,406.4mm,69.0°,74.0°,70mm,445–462mm,110mm,483mm,45mm,1061–1078mm,615.0mm,352.0mm,732.0mm,
2,MD,fargo,173cm–183cm,565mm,457.2mm,69.0°,73.0°,70mm,445–462mm,140mm,483mm,45mm,1077–1093mm,643.1mm,368.4mm,778.0mm,
3,LG,fargo,180cm–191cm,590mm,508.0mm,69.0°,73.0°,70mm,445–462mm,170mm,483mm,45mm,1104–1120mm,671.1mm,384.8mm,821.0mm,
4,XL,fargo,188cm–UP,620.0mm,558.8mm,69.0°,73.0°,70mm,445–462mm,190mm,483mm,45mm,1136–1152mm,689.7mm,409.1mm,859.0mm,
0,49.5cm,vaya,147–158 cm,495mm,380.0mm,70.25°,75.5°,75mm,450mm,100mm,405mm,50mm,1019.4mm,542.7mm,354.6mm,660.1mm,
1,52cm,vaya,158–165 cm,520mm,450.0mm,71.50°,74.5°,75mm,450mm,100mm,405mm,50mm,1022.7mm,547.4mm,368.2mm,713.7mm,
2,54cm,vaya,165–173 cm,540mm,470.0mm,71.50°,73.5°,75mm,450mm,145mm,405mm,50mm,1034.0mm,590.1mm,365.2mm,742.0mm,
3,55cm,vaya,170–178 cm,550mm,510.0mm,71.50°,73.0°,75mm,450mm,165mm,405mm,50mm,1038.9mm,609.1mm,363.8mm,776.3mm,
4,57cm,vaya,175–185 cm,570mm,530.0mm,71.50°,72.5°,75mm,450mm,185mm,405mm,50mm,1053.5mm,628.0mm,372.0mm,795.6mm,
5,59.5cm,vaya,188cm–UP5,595mm,560.0mm,71.50°,72.0°,75mm,450mm,205mm,405mm,50mm,1072.6mm,647.0mm,384.8mm,821.0mm,
0,SM,cutthroat,168–175cm,545.0mm,406mm,70°,74°,70mm,445mm,90mm,483mm,45mm,1052.7mm,593.9mm,374.7mm,719.1mm,
1,MD,cutthroat,173–183cm,565.0mm,482.6mm,70°,74°,70mm,445mm,115mm,483mm,45mm,1057.4mm,619.5mm,375.6mm,787.1mm,
2,LG,cutthroat,180–191cm,580.0mm,533mm,71°,73°,70mm,445mm,140mm,483mm,45mm,1067.9mm,645.3mm,382.7mm,829.9mm,
3,XL,cutthroat,188cm–UP,600.0mm,584mm,71°,73°,70mm,445mm,160mm,483mm,45mm,1088.6mm,664.2mm,396.9mm,868.7mm,
0,51cm,warbird,152cm–160cm,515mm,455.0mm,70.0°,74.5°,70mm,430mm,100mm,405mm,45mm,1007.4mm,527.7mm,368.6mm,716.2mm,
1,53cm,warbird,157cm–165cm,535mm,495.0mm,70.5°,73.5°,70mm,430mm,120mm,405mm,45mm,1014.0mm,548.4mm,372.5mm,749.0mm,
2,55cm,warbird,165cm–175cm,550mm,520.0mm,70.5°,73.0°,70mm,430mm,140mm,405mm,45mm,1024.7mm,567.3mm,376.6mm,771.6mm,
3,56cm,warbird,173cm–183cm,565mm,540.0mm,72.0°,73.0°,70mm,430mm,160mm,405mm,45mm,1030.6mm,590.1mm,384.6mm,792.4mm,
4,58cm,warbird,180cm–190cm,580mm,575.0mm,72.0°,72.5°,70mm,430mm,185mm,405mm,45mm,1034.9mm,615.8mm,385.8mm,823.6mm,
5,60cm,warbird,188cm–UP,600mm,605.0mm,72.0°,72.0°,70mm,430mm,210mm,405mm,45mm,1048.8mm,639.6mm,392.2mm,850.2mm,
0,XS,woodsmoke,157–168cm,571mm,355.6mm,67.8°,73.3°,62.0mm,409–417mm,100mm,507mm,51mm,1075–1191mm,596mm,392mm,714mm,
1,SM,woodsmoke,160cm–175cm,591mm,381.0mm,67.8°,73.3°,62.0mm,409–417mm,100mm,507mm,51mm,1096–1112mm,606mm,409mm,734mm,
2,MD,woodsmoke,173cm–183cm,611mm,431.8mm,67.8°,73.3°,62.0mm,409–417mm,110mm,507mm,51mm,1117–1132mm,615mm,426mm,773mm,
3,LG,woodsmoke,180cm–191cm,641mm,482.6mm,67.8°,73.3°,62.0mm,409–417mm,120mm,507mm,51mm,1148–1164mm,624mm,453mm,802mm,
4,XL,woodsmoke,188cm–UP,671mm,533.4mm,67.8°,73.3°,62.0mm,409–417mm,130mm,507mm,51mm,1179–1195mm,633mm,481mm,831mm,
0,XS,timberjack,157cm–168cm,570mm,355.6mm,68.0°,73.6°,58mm,420–437mm,100mm,500mm,51mm,1083–1100mm,599mm,394mm,679mm,
1,SM,timberjack,160cm–175cm,590mm,381.0mm,68.0°,73.6°,58mm,420–437mm,100mm,500mm,51mm,1103–1120mm,599mm,414mm,695mm,
2,MD,timberjack,173cm–183cm,610mm,431.8mm,68.0°,73.6°,58mm,420–437mm,110mm,500mm,51mm,1124–1141mm,608mm,431mm,735mm,
3,LG,timberjack,180cm–191cm,640mm,482.6mm,68.0°,73.6°,58mm,420–437mm,120mm,500mm,51mm,1155–1172mm,617mm,458mm,772mm,
4,XL,timberjack,188cm–UP,670mm,533.4mm,68.0°,73.6°,58mm,420–437mm,135mm,500mm,51mm,1187–1204mm,631mm,484mm,809mm,
0,Small,bucksaw,165 - 175cm,590mm,387mm,67.7°,73.5°,26.2mm,444mm,100mm,511mm,50mm,1142.7mm,575.9mm,419.4mm,727.8mm,
1,Medium,bucksaw,175 - 183cm,610mm,432mm,67.7°,73.5°,26.2mm,444mm,110mm,511mm,50mm,1163.8mm,585.2mm,436.7mm,728.3mm,
2,Large,bucksaw,183 - 190cm,630mm,483mm,67.7°,73.5°,26.2mm,444mm,110mm,511mm,50mm,1183.8mm,585.2mm,456.7mm,732.3mm,
3,X-Large,bucksaw,190cm - UP,650mm,533mm,67.7°,73.5°,26.2mm,444mm,120mm,511mm,50mm,1204.8mm,594.4mm,473.9mm,756.4mm,
0,Small,spearfish,168–175cm,580mm,407mm,69.3°,73.5°,45mm,437mm,100mm,506mm,51mm,1101.4mm,597.4mm,403.0mm,725.0mm,
1,Medium,spearfish,175–183cm,600mm,457mm,69.3°,73.5°,45mm,437mm,110mm,506mm,51mm,1121.4mm,606.8mm,420.3mm,733.5mm,
2,Large,spearfish,183–190cm,620mm,508mm,69.3°,73.5°,45mm,437mm,120mm,506mm,51mm,1142.2mm,616.8mm,437.6mm,755.1mm,
3,X-Large,spearfish,190cm–UP,640mm,534mm,69.3°,73.5°,45mm,437mm,120mm,506mm,51mm,1162.9mm,616.8mm,457.5mm,778.5mm,
0,Small,horsethief,165,590mm,407mm,68.1°,73.5°,36mm,437mm,100mm,530mm,51mm,1130mm,605.9mm,410.7mm,747.9mm,
1,Medium,horsethief,175,610mm,457mm,68.1°,73.5°,36mm,437mm,110mm,530mm,51mm,1151mm,614.5mm,428mm,750.6mm,
2,Large,horsethief,183,630mm,508mm,68.1°,73.5°,36mm,437mm,110mm,530mm,51mm,1171mm,614.5mm,448mm,792.3mm,
3,X-Large,horsethief,190cm,650mm,534mm,68.1°,73.5°,36mm,437mm,120mm,530mm,51mm,1192mm,623.8mm,465.2mm,795.6mm,
0,Medium/Small,powderkeg,173–183 / 165–175cm ,600 / 740mm,457.2 / 406.4mm,70°,73 / 73°,60mm,450–467mm,100mm,483mm,45mm,1847.1–1863.8mm,602.7mm,415.7mm,758.2 / 660.4mm,740mm
1,Large/Small,powderkeg,180–191 / 165–175cm,620 / 740mm,508 / 406.4mm,70°,73 / 73°,60mm,450–467mm,110mm,483mm,45mm,1867.7–1884.3mm,612.1mm,432.9mm,795.3 / 670.9mm,740mm
2,Large/Medium,powderkeg,180–191 / 173–183cm,620 / 770mm,508 / 457.2mm,70°,73 / 73°,60mm,450–467mm,110.0mm,483mm,45mm,1897.7–1914.3mm,612.1mm,432.9mm,795.3 / 713.3mm,770mm
